ID,Sample,Site,Type,Date,DOY,Year,DOC,TDN,TheorAlk,Na,NH4,K,Mg,Ca,Cl,NO3,PO4,SO4,NO3N,NH4N,DIN,DON,Ca,Mg,Na,K,NH4,CL,NO3,PO4,SO4,ANIONS,CATIONS,ION,DIFF,BASES,ACIDS,ALK,Location,SType,JulianDOY,pH,Water T,conductivity,cond T,Temp Corrected,d2H,d18O
RICK_15,15,Lake Agnes,NORMAL,7/15/2019,196,2019,0.303,0.07713,21.43090296,0,0.052,0.018,0.003,0.583,0.0421,0.1394,0,0.2369,0.03149046,0.040378,0.07186846,0.00526154,29.09181637,0.246862785,0,0.460378073,2.882755027,1.18748766,2.248209416,0,4.932457192,8.368154268,32.68181225,41.04996652,-59.2294222,29.79905723,8.368154268,21.43090296,Snow,Snow,19196,,,,,,,
RICK_17,17,Lake Agnes,NORMAL,8/13/2019,225,2019,0.4141,0.2161,415.1921563,0.655,0.002,0.16,0.858,8.726,0.1026,0.903,0,5.0894,0.2039877,0.001553,0.2055407,0.0105593,435.4291417,70.60275663,28.49093314,4.092249535,0.110875193,2.893972301,14.56336515,0,105.9655873,123.4229248,538.7259562,662.148881,-62.72049132,538.615081,123.4229248,415.1921563,O,Outlet,19225,7.58,,43,8,7.8,-119.5260715,-16.726129
RICK_18,18,Lake Agnes,NORMAL,8/13/2019,225,2019,0.443,0.4088,539.4355092,0.599,0.006,0.175,1.567,9.555,0.0761,1.7349,0,3.204,0.39191391,0.004659,0.39657291,0.01222709,476.7964072,128.9446616,26.0550671,4.475897929,0.33262558,2.146503822,27.98004674,0,66.70997402,96.83652458,636.6046594,733.441184,-73.59392227,636.2720338,96.83652458,539.4355092,G2,Mixed,19225,7.64,2.3,56.3,1.6,1.4,-115.1398983,-16.36300543
RICK_20,20,Lake Agnes,NORMAL,8/13/2019,225,2019,0.4209,0.4237,435.7286809,0.569,0.012,0.157,1.053,8.121,0.065,1.661,0,2.7042,0.3752199,0.009318,0.3845379,0.0391621,405.239521,86.64883769,24.75013887,4.015519856,0.66525116,1.833413251,26.78820545,0,56.30371777,84.92533647,521.3192685,606.244605,-71.98314483,520.6540174,84.92533647,435.7286809,EG2,Mixed,19225,7.58,2.2,46.7,1.5,1.3,-113.3899104,-16.1819348
RICK_21,21,Lake Agnes,NORMAL,8/13/2019,225,2019,0.2376,0.4907,1214.413455,1.101,0.002,0.397,5.406,18.657,0.128,2.138,0,8.7112,0.4829742,0.001553,0.4845272,0.0061728,930.988024,444.8467394,47.89086624,10.15389416,0.110875193,3.610413787,34.48114584,0,181.3745086,219.4660683,1433.990399,1653.456467,-73.45366236,1433.879524,219.4660683,1214.413455,WG2,RG,19225,8.08,1,151.6,0.5,0.3,-119.4208579,-16.883297
RICK_22,22,Lake Agnes,NORMAL,8/13/2019,225,2019,0.2631,0.5729,946.183138,1.179,0.016,0.276,4.006,15.702,0.1662,2.4982,0,8.6624,0.56434338,0.012424,0.57676738,-0.00386738,783.5329341,329.6441062,51.28367965,7.059130448,0.887001547,4.687896652,40.29036415,0,180.3584516,225.3367124,1172.406852,1397.743564,-67.75707388,1171.51985,225.3367124,946.183138,EG3,RG,19225,8.08,2.2,117.2,1.3,1.1,-116.8181202,-16.510023
RICK_23,23,Lake Agnes,NORMAL,8/13/2019,225,2019,0.3994,0.4234,420.7851345,0.573,0.02,0.176,0.991,7.724,0.1028,1.8096,0,2.0908,0.40878864,0.01553,0.42431864,-0.00091864,385.4291417,81.54700679,24.9241293,4.501474489,1.108751933,2.899613573,29.18479023,0,43.532214,75.61661781,497.5105042,573.127122,-73.61261929,496.4017523,75.61661781,420.7851345,G3,Mixed,19225,7.56,1.9,40.5,1.2,1,-115.3860462,-16.32993467
RICK_25,25,Lake Agnes,NORMAL,8/13/2019,225,2019,0.6005,0.2175,347.6537276,0.58,0.004,0.157,0.503,6.873,0.0527,0.6829,0,2.5669,0.15426711,0.003106,0.15737311,0.06012689,342.9640719,41.39066036,25.22861255,4.015519856,0.221750387,1.486475051,11.0136457,0,53.44501632,65.94513707,413.820615,479.7657521,-72.50944371,413.5988646,65.94513707,347.6537276,F,NRG,19225,7.54,9.6,32.4,9,8.8,-120.3200445,-16.92684563
RICK_26,26,Lake Agnes,NORMAL,8/30/2019,242,2019,0.2806,0.3814,521.6536993,0.785,0.006,0.256,1.304,9.708,0.12,1.647,0,3.882,0.3720573,0.004659,0.3767163,0.0046837,484.4311377,107.3030241,34.14562216,6.547599256,0.33262558,3.384762926,26.56241684,0,80.8265041,110.7736839,632.7600088,743.5336927,-70.20345279,632.4273832,110.7736839,521.6536993,EG2,Mixed,19242,7.65,2.3,54,1.8,1.6,-116.3664161,-16.40164257
RICK_27,27,Lake Agnes,NORMAL,8/30/2019,242,2019,0.3539,0.3407,624.1659722,0.657,0.006,0.209,1.947,10.73,0.09,1.396,0,3.859,0.3153564,0.004659,0.3200154,0.0206846,535.4291417,160.2139477,28.57792836,5.345500955,0.33262558,2.538572194,22.51434967,0,80.34762476,105.4005466,729.8991444,835.299691,-74.76341779,729.5665188,105.4005466,624.1659722,G2,Mixed,19242,7.56,3.3,61.4,3.2,3,-116.6739386,-16.48710267
